                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.77487,                0.43419,                0.97774,                0.97782,                0.97852,                0.98911,                0.83763,                0.68126,                0.38184,                0.94362,              0.0014984,              0.0014984,              0.0014984
                     79,                0.79906,                 0.4683,                0.97211,                0.97422,                0.99226,                 0.9881,                0.81425,                0.73079,                 0.3979,                0.95884,              0.0014918,              0.0014918,              0.0014918
                     80,                0.80522,                0.45804,                0.96792,                0.97417,                0.99003,                0.99067,                0.81279,                0.73025,                0.40975,                0.96296,              0.0014852,              0.0014852,              0.0014852
                     81,                0.79619,                0.46316,                0.96542,                0.97825,                0.99045,                0.98813,                0.82921,                0.69856,                0.38641,                0.94733,              0.0014786,              0.0014786,              0.0014786
                     82,                0.78694,                0.46274,                0.97381,                0.98012,                0.98091,                0.98557,                0.81782,                0.70707,                0.38864,                 0.9506,               0.001472,               0.001472,               0.001472
                     83,                0.80201,                0.47013,                 0.9787,                0.98217,                0.98568,                0.98491,                0.82095,                0.68571,                0.38696,                0.94273,              0.0014654,              0.0014654,              0.0014654
                     84,                0.77797,                0.45311,                0.96513,                0.97989,                0.98329,                0.98467,                 0.8231,                0.71833,                0.39096,                0.95984,              0.0014588,              0.0014588,              0.0014588
                     85,                 0.7354,                0.44694,                  0.966,                0.97778,                0.99045,                0.98839,                 0.8452,                0.66446,                0.36612,                0.93011,              0.0014522,              0.0014522,              0.0014522
                     86,                0.77147,                0.41812,                0.95162,                0.97877,                0.99017,                0.98928,                0.82991,                0.68219,                 0.3669,                0.93975,              0.0014456,              0.0014456,              0.0014456
                     87,                0.77471,                 0.4346,                0.96332,                0.97422,                0.99209,                0.98546,                0.82034,                0.68657,                 0.3751,                0.94518,               0.001439,               0.001439,               0.001439
                     88,                0.79819,                0.46012,                0.95415,                0.98192,                0.98091,                0.98833,                 0.8329,                0.67809,                0.37345,                0.93945,              0.0014324,              0.0014324,              0.0014324
                     89,                0.75032,                0.44782,                0.93784,                0.98464,                0.98568,                0.98923,                0.83717,                0.70699,                0.38377,                0.94784,              0.0014258,              0.0014258,              0.0014258
